ingredientCategory,ingredientCode,ingredientName,ingredientCalorie
가공품,,김치,29
가공품,,골뱅이,86
가공품,,번데기,217
가공품,,단무지,348
가루류,,베이킹파우더,116
가루류,,밀가루,330
가루류,,부침가루,342
견과류,,호두,162
견과류,,밤,186
견과류,,피스타치오,344
견과류,,땅콩,597
견과류,,아몬드,652
곡물,,원두,10
곡물,,참깨,45
곡물,,팥,93
곡물,,보리,344
곡물,,쌀,348
곡물,,현미,354
곡물,,찹쌀,374
곡물,,콩,391
곡물,,콩,391
과일,,호박,24
과일,,딸기,27
과일,,매실,29
과일,,자몽,30
과일,,레몬,31
과일,,수박,31
과일,,참외,31
과일,,자두,34
과일,,복숭아,34
과일,,멜론,38
과일,,감귤,39
과일,,오렌지,40
과일,,단감,44
과일,,한라봉,48
과일,,배,51
과일,,블루베리,56
과일,,사과,57
과일,,체리,60
과일,,포도,60
과일,,리치,61
과일,,석류,67
과일,,올리브,72
과일,,바나나,93
과일,,대추,104
과일,,은행,183
과일,,아보카도,191
과일,,곶감,237
두부류,,곤약,0
두부류,,도토리묵,40
두부류,,두부,79
떡,,떡,293
면류,,스파게티면,104
면류,,우동면,207
면류,,당면,349
면류,,소면,360
면류,,라면,540
미나리,,미나리,16
버섯,,새송이버섯,24
버섯,,느타리버섯,25
버섯,,팽이버섯,32
버섯,,표고버섯,38
생선류,,노가리,72
생선류,,동태,73
생선류,,홍어,87
생선류,,가오리,90
생선류,,보리멸,93
생선류,,서대,95
생선류,,명태,98
생선류,,우럭,98
생선류,,붕어,100
생선류,,돔,103
생선류,,광어,103
생선류,,민어,104
생선류,,생태,108
생선류,,장어,110
생선류,,도다리,115
생선류,,잉어,117
생선류,,빙어,122
생선류,,농어,123
생선류,,숭어,125
생선류,,가자미,129
생선류,,참치,132
생선류,,조기,138
생선류,,갈치,145
생선류,,방어,156
생선류,,연어,161
생선류,,메기,170
생선류,,삼치,178
생선류,,굴비,178
생선류,,꽁치,262
생선류,,고등어,271
소스류,,토마토소스,39
소스류,,굴소스,50
소스류,,머스타드소스,60
소스류,,칠리소스,75
소스류,,데리야끼소스,83
소스류,,타바스코페퍼소스,
소스류,,바베큐소스,
술,,소주,141
알류,,달걀,158
알류,,메추리알,170
약재류,,인삼,98
약재류,,장뇌삼,100
약재류,,홍삼,293
"양념,잼",,케찹,117
"양념,잼",,마요네즈,656
어패류,,쭈꾸미,47
어패류,,조개,49
어패류,,낙지,53
어패류,,바지락,65
어패류,,홍합,73
어패류,,문어,74
어패류,,가리비,80
어패류,,한치,81
어패류,,오징어,87
어패류,,새우,93
어패류,,굴,99
어패류,,멸치,114
어패류,,어묵,140
우유,,우유,60
유류,,참기름,884
유류,,들기름,884
유류,,식용유,900
유제품류,,치즈,312
유제품류,,마가린,721
유제품류,,버터,747
육류,,가브리살,135
육류,,안심,154
육류,,닭고기,173
육류,,갈매기살,188
육류,,쇠고기,218
육류,,등심,218
육류,,돼지고기,236
육류,,목살,264
육류,,소시지,276
육류,,삼겹살,331
육류,,칠면조,150
장류,,간장,42
장류,,고추장,43
장류,,춘장,157
장류,,된장,161
장류,,낫또,200
장류,,청국장,284
젓갈류,,새우젓,50
조미료,,소금,0
조미료,,식초,20
조미료,,고춧가루,272
조미료,,설탕,387
조미료,,다시다,
조미료,,미원,
조미료,,와사비,
조미료,,겨자,
채소,,오이,9
채소,,얼갈이배추,10
채소,,열무,11
채소,,배추,12
채소,,아스파라거스,12
채소,,무,13
채소,,죽순,13
채소,,토마토,14
채소,,방울토마토,16
채소,,가지,16
채소,,상추,18
채소,,쑥,18
채소,,풋고추,19
채소,,파프리카,20
채소,,아욱,20
채소,,피망,24
채소,,파,26
채소,,머위,27
채소,,브로콜리,28
채소,,깻잎,29
채소,,시금치,30
채소,,콩나물,30
채소,,양배추,31
채소,,당근,34
채소,,양파,35
채소,,붉은고추,39
채소,,생강,53
채소,,감자,55
채소,,더덕,55
채소,,야콘,57
채소,,우엉,62
채소,,연근,67
채소,,도라지,83
채소,,옥수수,106
채소,,마늘,120
채소,,고구마,128
채소,,마,135
채소,,건고추,221
채소,,녹두,355
해산물,,멍게,78
해조류,,다시마,19
해조류,,김,19
해조류,,건미역,190
향신료,,후추,306
